
Train 70:30 Test
~|Acc@Train   IQR|Acc@Train    ~|Acc@Test    IQR|Acc@Test     ~|Prec@Test   IQR|Prec@Test    ~|F1@Test     IQR|F1@Test      Config
0.692         0.00118          0.690         0.00276          0.690         0.00276          0.817         0.00194          LogisticRegression
0.806         0.00073          0.733         0.00133          0.743         0.00262          0.829         0.00097          SVC-RBF
0.818         0.00145          0.734         0.00171          0.749         0.00123          0.827         0.00098          NuSVC-RBF
0.563         0.00840          0.562         0.00643          0.690         0.00892          0.681         0.00703          SVC-Sigmoid
0.919         0.00107          0.912         0.00155          0.928         0.00215          0.937         0.00114          GradientBoosting400maxdepth3
0.929         0.00042          0.916         0.00135          0.932         0.00155          0.940         0.00105          GradientBoosting400maxdepth4
0.942         0.00102          0.920         0.00118          0.936         0.00159          0.943         0.00086          GradientBoosting400maxdepth5
0.958         0.00065          0.923         0.00173          0.939         0.00145          0.944         0.00123          GradientBoosting400maxdepth6
0.975         0.00048          0.926         0.00077          0.942         0.00127          0.946         0.00063          GradientBoosting400maxdepth7
0.990         0.00065          0.927         0.00211          0.944         0.00221          0.947         0.00148          GradientBoosting400maxdepth8
0.921         0.00091          0.913         0.00231          0.929         0.00277          0.938         0.00156          GradientBoosting500maxdepth3
0.933         0.00023          0.917         0.00142          0.933         0.00177          0.940         0.00111          GradientBoosting500maxdepth4
0.948         0.00082          0.921         0.00105          0.938         0.00121          0.943         0.00079          GradientBoosting500maxdepth5
0.964         0.00083          0.924         0.00142          0.941         0.00062          0.945         0.00102          GradientBoosting500maxdepth6
0.982         0.00076          0.927         0.00065          0.943         0.00174          0.947         0.00028          GradientBoosting500maxdepth7
0.995         0.00045          0.928         0.00205          0.945         0.00198          0.948         0.00142          GradientBoosting500maxdepth8
0.924         0.00126          0.915         0.00201          0.930         0.00263          0.939         0.00148          GradientBoosting600maxdepth3
0.937         0.00032          0.918         0.00137          0.934         0.00195          0.942         0.00094          GradientBoosting600maxdepth4
0.953         0.00102          0.923         0.00062          0.939         0.00078          0.944         0.00055          GradientBoosting600maxdepth5
0.971         0.00066          0.924         0.00204          0.941         0.00088          0.946         0.00148          GradientBoosting600maxdepth6
0.988         0.00060          0.928         0.00092          0.944         0.00164          0.948         0.00040          GradientBoosting600maxdepth7
0.997         0.00051          0.929         0.00171          0.946         0.00178          0.948         0.00118          GradientBoosting600maxdepth8
0.926         0.00159          0.916         0.00177          0.931         0.00209          0.939         0.00132          GradientBoosting700maxdepth3
0.940         0.00076          0.920         0.00127          0.935         0.00191          0.942         0.00077          GradientBoosting700maxdepth4
0.957         0.00095          0.924         0.00109          0.940         0.00122          0.945         0.00090          GradientBoosting700maxdepth5
0.976         0.00027          0.925         0.00210          0.942         0.00115          0.946         0.00143          GradientBoosting700maxdepth6
0.991         0.00035          0.929         0.00090          0.944         0.00145          0.948         0.00040          GradientBoosting700maxdepth7
0.999         0.00015          0.929         0.00183          0.946         0.00144          0.949         0.00136          GradientBoosting700maxdepth8
1.000         0.00000          0.911         0.00217          0.924         0.00142          0.936         0.00178          ExtraTrees400
1.000         0.00000          0.911         0.00194          0.924         0.00135          0.936         0.00161          ExtraTrees350
1.000         0.00000          0.911         0.00210          0.923         0.00193          0.936         0.00170          ExtraTrees300
1.000         0.00000          0.910         0.00171          0.924         0.00144          0.936         0.00143          ExtraTrees250
1.000         0.00000          0.910         0.00217          0.924         0.00147          0.936         0.00177          ExtraTrees200
1.000         0.00000          0.910         0.00201          0.924         0.00157          0.936         0.00164          ExtraTrees150
1.000         0.00000          0.910         0.00225          0.924         0.00197          0.935         0.00169          ExtraTrees100
1.000         0.00000          0.912         0.00174          0.927         0.00123          0.937         0.00141          RandomForest400
1.000         0.00000          0.913         0.00163          0.927         0.00111          0.938         0.00139          RandomForest350
1.000         0.00000          0.913         0.00166          0.927         0.00106          0.938         0.00139          RandomForest300
1.000         0.00000          0.913         0.00170          0.927         0.00103          0.937         0.00136          RandomForest250
1.000         0.00000          0.912         0.00149          0.927         0.00086          0.937         0.00128          RandomForest200
1.000         0.00000          0.913         0.00163          0.927         0.00150          0.937         0.00115          RandomForest150
1.000         0.00000          0.912         0.00177          0.926         0.00134          0.937         0.00115          RandomForest100
0.905         0.00082          0.902         0.00084          0.916         0.00218          0.930         0.00092          AdaBoost400
0.808         0.00066          0.732         0.00083          0.773         0.00188          0.816         0.00088          kNN-5-uniform
0.782         0.00099          0.739         0.00155          0.783         0.00263          0.819         0.00131          kNN-10-uniform
0.771         0.00100          0.747         0.00306          0.769         0.00298          0.831         0.00264          kNN-15-uniform
0.766         0.00143          0.747         0.00324          0.773         0.00302          0.830         0.00287          kNN-20-uniform
0.753         0.00167          0.746         0.00378          0.763         0.00372          0.833         0.00238          kNN-50-uniform
0.744         0.00065          0.741         0.00205          0.757         0.00147          0.831         0.00191          kNN-100-uniform
0.740         0.00093          0.738         0.00198          0.753         0.00207          0.830         0.00165          kNN-200-uniform
1.000         0.00000          0.725         0.00072          0.774         0.00249          0.810         0.00105          kNN-5-distance
